,brand,name,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating
0,PACO RABANNE,1 Million Lucky,244.55,100,EDT,Men,Woody,"Oakmoss, Patchouli and Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar and Honey",5
1,Roberto Cavalli,Paradiso Assoluto,107.95,50,EDP,Women,Floral,"Vanilla, Sandalwood And Patchouli",Wild Jasmine and Red Lily,4.8
2,S.T.Dupont,Royal Amber,186.9,100,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,5
3,GUESS,Seductive Blue,103.2,100,EDT,Men,Spicy,"Cashmere Wood, Moss And Rippled Sand Accord",Blue Coral Aquaspace Accord And Geranium,3
4,Roberto Cavalli,Uomo,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8
5,Roberto Cavalli,cavalli,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8
6,HUGO BOSS,The Scent,220,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4
7,DORALL COLLECTION,Gold Secret,12.35,100,EDT,Men,Fruity,Labdanum and Musk,Lavender and Cloves,2.9
8,GUCCI,Bamboo,189,75,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,4.8
9,Yves Saint Laurent,M7 Oud Absolu,273,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5
10,CERRUTI 1881,1881,119.55,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",4.3
11,Calvin Klein,IN 2 U MEN,85,100,EDT,Men,Citrus,"White Musk, Vetiver and Cedar",Cacao Pod,3.7
12,Rasasi,Royale Blue,45.3,75,EDP,Men,Fruity,Delicate Musky Sensual Woods,Distinct and Exotic,4.5
13,MONTALE,Black Oud,240,100,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",3.3
14,Yves Saint Laurent,L'Homme,273.8,100,EDT,Men,Woody,"Tonka Bean, Tahitian Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",3
15,CHLOE,Love Story,274.95,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",5
16,NARCISO RODRIGUEZ,Narciso Rouge,275.15,90,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,4.5
17,DORALL COLLECTION,24 Pure,9.85,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9
18,Rasasi,Romance,35.25,45,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar and Sandalwood","Rose,Jasmine",4.5
19,BOUCHERON,Quatre,171.5,100,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",5
20,NARCISO RODRIGUEZ,Narciso Rodriguez,200,100,EDP,Women,Floral,Patchouli and Sandalwood,Amber and Musk,4.6
21,Alina Corel,Monsieur Intense Gold,31.45,100,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",5
22,Revlon,Charlie Gold,43,100,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4
23,TED LAPIDUS,Pour Homme,44.45,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5
24,Britney Spears,Fantasy,90,100,EDP,Women,Vanilla,"Luid Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",5
25,GUCCI,Bloom Aqua Di Fiori,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7
26,Yves Saint Laurent,Body Kouros,203.6,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5
27,Van Cleef & Arpels,First,170.95,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",5
28,NARCISO RODRIGUEZ,Narciso Rodriguez,226,100,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",4
29,S.T.Dupont,S.T. Dupont,79.35,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk and Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender and Jasmine",5
30,Estee Lauder,Knowing,220,75,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood and Amber","Jasmine, Patchouli and Orange Flower",5
31,Geoffrey Beene,Grey Flannel For Men,79,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium and Narcissus",5
32,Dolce & Gabbana,The Only One,187.3,100,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood And Heliotrope","Coffee, Iris",5
33,Rasasi,Al Wisam Day,76,100,EDP,Men,Oriental,"Oak Moss, And Rich And Musty Oud","Amber Nuanced Clary Sage, Soft And Milky Sandalwood, And Woody Cedarwood",4.3
34,Mancera,Black Vanilla,296,120,EDP,Unisex,Woody,Vanilla Pods from Madagascar and White Musk,"Delicate Bulgarian Rose, Violet, and Jasmine",3
35,Dior,Addict,333.8,100,EDP,Women,Floral,"Bourbon Vanilla, Sandal Wood And Tonka Bean","Night Queen Flower, Bulgarian Rose And Orange Flower",4.5
36,S.T.Dupont,Passenger,108.9,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5
37,BURBERRY,Brit Rhythm Intense,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6
38,Calvin Klein,CK Be,108.3,200,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",5
39,GUCCI,Guilty,214.9,75,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",5
40,AIGNER,Starlight,126.95,100,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla and White Musk","Cumin, Jasmine and Strawberries",5
41,BENTLEY,Azure,107,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean and Orcanox","Pimento, Tea Accord, Lavender and Clary Sage",4.6
42,VERSACE,Dylan Blue,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4
43,Estee Lauder,Modern Muse,164.4,50,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",5
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,204,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5
45,Juicy Couture,Vivi La Juicy Limited Edition,154.1,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood and Pralines","Honeysuckle, Gardenia, and Jasmine",5
46,Laura Mars,Splandid,36,100,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli and Ylang-Ylan",5
47,GIORGIO ARMANI,Stronger With You,170,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5
48,CHLOE,Chloe,186,75,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",3.5
49,HERMES,Terre D'Hermes,9.55,2,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver and Benzoin",Pepper and Pelargonium,5
50,Elizabeth Arden,5Th Avenue,89.4,125,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",3.8
51,VERSACE,Dylan Blue,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6
52,Benetton,Hot Gold,27.45,100,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",4.4
53,PACO RABANNE,Invictus,210,100,EDT,Men,Citrus,Guaiac Wood and Patchouli Heart,Ambregris Accord and Grapefruit Zests,4.8
54,Roberto Cavalli,Nero Assoluto,129.55,75,EDP,Women,Arabian,"Ebony, Woodsy Notes",Vanilla,5
55,DORALL COLLECTION,Scholar,9.45,100,EDT,Men,Floral,"Patchouli, Moss, Woody-Amber, Sandalwood, Musk, Dry Woods.","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",5
56,Calvin Klein,Eternity,100,100,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver and Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley and Geranium",4
57,Juicy Couture,Viva La Juicy Noir,144.45,100,EDP,Women,Fruity,"Amber, Caramel, Vanilla And Sandalwood","Gardenia, Honeysuckle And Jasmine",4.9
58,PACO RABANNE,Lady Million,210,80,EDP,Women,Floral,Gardenia,Arabic Jasmine and African Orange Flower,4.7
59,Giorgio Beverly Hills,giorgio,120,90,EDT,Women,Floral,"Sandalwood, Patchouli, Vanilla, Amber, Cedar, Oakmoss, Musk","Ylang-ylang, Seductive Tuberose, Gardenia, Jasmine, Rose, Orchid",5
60,Guerlain,Idylle,256,100,EDP,Women,Floral,Amber Accord and Sandalwood,"Magnolia, Jasmine and Ylang Ylang",4.3
61,Yves Saint Laurent,Libre,410,90,EDP,Women,Floral,"Amber, Vanilla, Ambergris, Musk","Orange Blossom, Jasmine, Lavender",4.9
62,Jean Paul GAULTIER,Scandal,288,50,EDP,Women,Floral,"Patchouli, Beeswax, Caramel, Licorice","Honey, Gardenia, Jasmine, Orange Blossom, Peach",5
63,BURBERRY,Mr. Burberry,179.95,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin and Cinnamon","Lavender, Cedar, Nutmeg",4.5
64,Ajmal,Raindrops,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7
65,GUCCI,Guilty Absolute,332.3,90,EDP,Women,Spicy,"Patchouli, Amber","Vetiver, Cypress, Bulgarian Rose, Woody Notes",4.2
66,BURBERRY,Mr. Burberry,200,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin Cinnamon","Lavender, Cedar, Nutmeg",5
67,VERSACE,Dylan Blue,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4
68,J.CASANOVA,ICQ,76.3,100,EDT,Men,Fresh,"Wood, Cedar Wood, Patchouli, Animal, Sandalwood","Floral, Ylang-Ylang, Jasmin, Cyclamen, Rosewood",5
69,UNITED COLORS OF BENETTON,Cold,27.95,100,EDT,Women,Spicy,"Amber, Frankincense, Musk, Patchouli, Vanilla, Vetiver","Coriander, Cumin, Pimiento",4
70,YSL,Supreme Bouquet,699,75,EDP,Unisex,Woody,"Amber, Musk and Patchouli","Tuberose, Jasmine and Ylang-Ylang",5
71,TOMMY HILFIGER,Tommy,129,100,EDT,Men,Spicy,"Amber, Cactus And Cotton","Cranberry, Rose And Apple",4.4
72,RALPH LAUREN,Safari,178,125,EDT,Men,Woody,"Leather, sandalwood, amber, patchouli, musk, oakmoss, cedar","Cyclamen, carnation, cinnamon, tarragon, jasmine, rose",3.5
