                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2878,                 2.6016,                 1.3998,                0.21115,                0.67852,                0.24078,                0.15604,                  1.176,                  2.303,                 1.5637,             0.00036565,             0.00036565,             0.00036565
                      2,                 1.2018,                 1.9227,                 1.3335,                0.22957,                  0.852,                0.36412,                0.22403,                 1.2683,                 1.8046,                 1.6262,             0.00072869,             0.00072869,             0.00072869
                      3,                 1.2006,                 1.7853,                 1.3095,                0.33104,                0.70859,                0.40086,                0.25827,                 1.1933,                 1.8138,                 1.6849,              0.0010844,              0.0010844,              0.0010844
                      4,                 1.1895,                  1.682,                 1.2706,                0.33508,                0.70741,                0.44664,                0.27966,                 1.3036,                 1.6527,                  1.637,               0.001078,               0.001078,               0.001078
                      5,                 1.1531,                 1.5936,                  1.255,                0.34558,                 0.7357,                0.48037,                0.32459,                 1.1339,                 1.5228,                 1.4765,               0.001067,               0.001067,               0.001067
                      6,                 1.1515,                 1.5272,                 1.2391,                0.37109,                0.67755,                0.49762,                0.33794,                  1.155,                 1.4444,                 1.4947,               0.001056,               0.001056,               0.001056
                      7,                 1.1068,                 1.4815,                 1.2145,                0.41482,                0.67868,                0.53932,                0.36402,                 1.1204,                  1.354,                 1.4356,               0.001045,               0.001045,               0.001045
                      8,                 1.1128,                 1.4408,                 1.2225,                0.58523,                0.61059,                0.54555,                  0.359,                 1.1431,                 1.2999,                 1.5149,               0.001034,               0.001034,               0.001034
                      9,                 1.0957,                 1.4036,                 1.2257,                0.44209,                0.71079,                0.55405,                0.37727,                 1.1419,                 1.2375,                 1.4709,               0.001023,               0.001023,               0.001023
                     10,                 1.1076,                   1.38,                  1.217,                0.45505,                 0.6838,                0.55812,                0.37842,                 1.1318,                 1.2323,                 1.5511,               0.001012,               0.001012,               0.001012
                     11,                 1.0738,                 1.3487,                 1.2051,                 0.4695,                0.67003,                0.56644,                0.38231,                 1.1894,                 1.3229,                 1.4562,               0.001001,               0.001001,               0.001001
                     12,                 1.0729,                 1.3151,                 1.2091,                0.49465,                0.65362,                0.59142,                0.41035,                 1.1115,                 1.2132,                 1.4817,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.0729,                 1.2894,                 1.2054,                0.53443,                0.62227,                0.60578,                0.41016,                 1.1076,                 1.1522,                 1.4413,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.0506,                 1.2707,                 1.1963,                0.53448,                 0.6524,                0.62022,                0.41772,                 1.1882,                 1.1621,                 1.5123,             0.00096801,             0.00096801,             0.00096801
                     15,                  1.043,                 1.2468,                 1.1907,                0.52588,                0.66066,                0.61208,                0.41958,                 1.1088,                 1.1569,                 1.4968,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.0291,                 1.2181,                 1.1948,                0.52013,                0.65772,                0.61643,                0.42811,                  1.102,                 1.1369,                 1.4599,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.0411,                 1.2197,                 1.1938,                0.49326,                0.72458,                0.64515,                  0.453,                  1.068,                  1.107,                  1.458,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.0328,                 1.1926,                 1.1879,                0.60123,                 0.6337,                0.66399,                0.45635,                 1.1366,                 1.0318,                  1.483,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.0237,                  1.161,                 1.1852,                0.57641,                 0.6496,                0.63404,                 0.4448,                  1.084,                 1.1062,                 1.4479,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.0232,                 1.1708,                 1.1842,                0.52046,                0.69105,                0.63421,                0.44664,                 1.0464,                 1.0762,                 1.4291,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.0117,                 1.1592,                 1.1773,                0.58264,                0.67415,                0.65849,                0.46481,                 1.0379,                0.99917,                 1.3942,             0.00089102,             0.00089102,             0.00089102
                     22,                0.99575,                 1.1345,                 1.1706,                0.53114,                0.70285,                0.64991,                0.45887,                 1.1041,                 1.0259,                 1.4273,             0.00088002,             0.00088002,             0.00088002
                     23,                  1.013,                 1.1307,                  1.178,                0.58858,                0.65651,                0.67322,                0.47671,                 1.0777,                 1.0116,                 1.4237,             0.00086902,             0.00086902,             0.00086902
                     24,                0.98716,                 1.0951,                 1.1668,                0.57276,                0.67075,                0.64835,                0.44842,                 1.1354,                 1.2429,                 1.4782,             0.00085803,             0.00085803,             0.00085803
                     25,                  1.001,                 1.0876,                 1.1645,                0.58999,                0.66701,                0.65232,                0.45952,                 1.0411,                 1.0163,                 1.4273,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.0046,                 1.0927,                 1.1662,                0.51993,                 0.6825,                0.64017,                0.44266,                 1.1219,                 1.0935,                 1.5002,             0.00083603,             0.00083603,             0.00083603
                     27,                0.99576,                 1.0734,                 1.1632,                0.56824,                0.61719,                0.65557,                0.46486,                 1.0571,                 1.0329,                 1.4226,             0.00082503,             0.00082503,             0.00082503
                     28,                0.97546,                 1.0481,                 1.1513,                0.57354,                0.70047,                0.67556,                0.47176,                 1.0535,                 0.9863,                  1.432,             0.00081403,             0.00081403,             0.00081403
                     29,                0.96581,                 1.0482,                 1.1545,                0.56464,                0.67408,                0.67966,                0.47838,                  1.075,                0.97002,                 1.4455,             0.00080303,             0.00080303,             0.00080303
                     30,                0.96894,                 1.0414,                 1.1509,                0.57501,                0.66223,                0.67066,                0.47315,                 1.0745,                0.99427,                 1.4401,             0.00079203,             0.00079203,             0.00079203
                     31,                0.95828,                 1.0194,                  1.139,                0.53691,                0.71851,                0.65552,                0.46126,                 1.0934,                   1.06,                 1.4513,             0.00078103,             0.00078103,             0.00078103
                     32,                0.95813,                 1.0135,                 1.1491,                0.64225,                0.64397,                0.68642,                0.48192,                 1.0777,                0.93756,                  1.417,             0.00077003,             0.00077003,             0.00077003
                     33,                0.96189,                 1.0052,                  1.146,                0.52835,                0.66317,                0.64453,                0.45553,                 1.0647,                  1.118,                 1.4533,             0.00075904,             0.00075904,             0.00075904
                     34,                0.95555,                 1.0072,                 1.1417,                0.53787,                0.69698,                0.66745,                0.47366,                 1.0442,                 0.9672,                 1.4125,             0.00074804,             0.00074804,             0.00074804
                     35,                0.95645,                0.99217,                 1.1443,                0.49152,                 0.7175,                0.63719,                0.44142,                 1.0678,                 1.0957,                 1.4341,             0.00073704,             0.00073704,             0.00073704
                     36,                0.94097,                0.98135,                 1.1335,                0.55441,                0.71566,                0.67737,                0.46985,                 1.1063,                 1.0035,                 1.4434,             0.00072604,             0.00072604,             0.00072604
                     37,                0.93344,                0.97773,                 1.1413,                0.56612,                0.65447,                0.65035,                0.45061,                 1.0854,                  1.062,                 1.4297,             0.00071504,             0.00071504,             0.00071504
                     38,                 0.9182,                0.94546,                 1.1244,                0.62347,                0.68593,                0.68524,                0.48128,                 1.0926,                0.93814,                 1.4791,             0.00070404,             0.00070404,             0.00070404
                     39,                0.92661,                0.94002,                 1.1211,                0.63894,                0.62572,                0.66954,                0.47096,                 1.0624,                0.98377,                 1.4477,             0.00069304,             0.00069304,             0.00069304
                     40,                0.91983,                0.94289,                 1.1311,                0.62281,                0.65353,                0.66435,                 0.4619,                  1.063,                0.96586,                 1.4033,             0.00068204,             0.00068204,             0.00068204
                     41,                0.91875,                0.91746,                 1.1241,                0.58548,                0.64553,                0.67055,                0.47254,                 1.0582,                0.98865,                 1.4255,             0.00067104,             0.00067104,             0.00067104
                     42,                0.91785,                0.91984,                   1.13,                0.61131,                0.61782,                0.66893,                0.46502,                 1.0826,                 0.9932,                 1.4671,             0.00066005,             0.00066005,             0.00066005
                     43,                0.92231,                0.92063,                 1.1235,                0.63027,                0.70072,                0.68614,                0.47854,                 1.0617,                0.97405,                 1.4224,             0.00064905,             0.00064905,             0.00064905
                     44,                0.89991,                0.89777,                 1.1185,                0.60034,                0.68378,                0.68206,                0.48064,                 1.0665,                0.96274,                 1.4576,             0.00063805,             0.00063805,             0.00063805
                     45,                0.90647,                0.88034,                 1.1232,                0.63449,                0.61803,                0.66163,                0.46606,                 1.0926,                 1.0375,                 1.4786,             0.00062705,             0.00062705,             0.00062705
                     46,                0.89073,                0.87526,                 1.1122,                0.59474,                0.65794,                0.66418,                0.47185,                 1.0883,                 1.0361,                 1.4609,             0.00061605,             0.00061605,             0.00061605
                     47,                0.87834,                0.87466,                  1.107,                0.65465,                 0.6309,                0.68911,                0.49134,                 1.0403,                0.93347,                  1.401,             0.00060505,             0.00060505,             0.00060505
                     48,                0.89656,                0.85283,                 1.1198,                0.62576,                0.65805,                0.68526,                0.48733,                 1.0802,                0.97127,                 1.4518,             0.00059405,             0.00059405,             0.00059405
                     49,                0.87977,                0.87682,                 1.1099,                 0.6251,                0.68007,                0.68373,                0.47993,                  1.037,                0.97657,                 1.4106,             0.00058305,             0.00058305,             0.00058305
                     50,                0.88767,                0.85341,                 1.1057,                0.65865,                0.62347,                 0.6637,                0.46841,                 1.0526,                0.99617,                 1.4048,             0.00057205,             0.00057205,             0.00057205
                     51,                0.88938,                0.84454,                 1.1076,                0.62699,                0.62723,                0.65301,                0.45785,                 1.1167,                 1.0414,                  1.445,             0.00056105,             0.00056105,             0.00056105
